,date,sentiment
674,2008-11-05,-0.011
675,2008-11-06,-0.289
676,2008-11-07,-0.032
677,2008-11-08,0.0
678,2008-11-09,0.061
679,2008-11-10,0.189
680,2008-11-11,0.14
681,2008-11-12,-0.076
682,2008-11-13,0.053
683,2008-11-14,-0.56
684,2008-11-15,0.0
685,2008-11-16,0.045
686,2008-11-17,0.146
687,2008-11-18,-0.006
688,2008-11-19,-0.087
689,2008-11-20,0.094
690,2008-11-21,-0.102
691,2008-11-22,-0.053
692,2008-11-23,0.454
693,2008-11-24,-0.057
694,2008-11-25,0.099
695,2008-11-26,-0.38
696,2008-11-27,-0.003
697,2008-11-28,-0.199
698,2008-11-29,0.0
699,2008-11-30,0.05
700,2008-12-01,0.04
701,2008-12-02,0.136
702,2008-12-03,0.063
703,2008-12-04,-0.137
704,2008-12-05,0.084
705,2008-12-06,0.452
706,2008-12-07,0.0
707,2008-12-08,-0.114
708,2008-12-09,0.422
709,2008-12-10,0.271
710,2008-12-11,0.014
711,2008-12-12,0.612
712,2008-12-13,0.0
713,2008-12-14,0.044
714,2008-12-15,-0.17
715,2008-12-16,-0.1
716,2008-12-17,0.084
717,2008-12-18,-0.064
718,2008-12-19,-0.209
719,2008-12-20,0.108
720,2008-12-21,0.0
721,2008-12-22,0.025
722,2008-12-23,0.095
723,2008-12-24,0.296
724,2008-12-25,0.0
725,2008-12-26,0.511
726,2008-12-27,-0.67
727,2008-12-28,0.318
728,2008-12-29,-0.571
729,2008-12-30,-0.671
730,2008-12-31,0.0
731,2009-01-01,-0.511
732,2009-01-02,-0.511
733,2009-01-03,-0.494
734,2009-01-04,-0.226
735,2009-01-05,0.085
736,2009-01-06,0.343
737,2009-01-07,-0.039
738,2009-01-08,-0.491
739,2009-01-09,-0.226
740,2009-01-10,0.0
741,2009-01-11,-0.601
742,2009-01-12,0.06
743,2009-01-13,0.14
744,2009-01-14,0.194
745,2009-01-15,0.246
746,2009-01-16,0.037
747,2009-01-17,0.0
748,2009-01-18,-0.032
749,2009-01-19,-0.267
750,2009-01-20,-0.109
751,2009-01-21,0.395
752,2009-01-22,0.081
753,2009-01-23,0.267
754,2009-01-24,0.0
755,2009-01-25,0.0
756,2009-01-26,0.193
757,2009-01-27,0.254
758,2009-01-28,-0.09
759,2009-01-29,0.214
760,2009-01-30,-0.147
761,2009-01-31,0.299
762,2009-02-01,0.323
763,2009-02-02,0.294
764,2009-02-03,-0.18
765,2009-02-04,0.134
766,2009-02-05,0.089
767,2009-02-06,-0.414
768,2009-02-07,-0.717
769,2009-02-08,-0.529
770,2009-02-09,-0.107
771,2009-02-10,0.045
772,2009-02-11,-0.102
773,2009-02-12,-0.229
774,2009-02-13,-0.339
775,2009-02-14,-0.525
776,2009-02-15,-0.1
777,2009-02-16,0.282
778,2009-02-17,-0.001
779,2009-02-18,0.489
780,2009-02-19,0.228
781,2009-02-20,0.25
782,2009-02-21,-0.78
783,2009-02-22,-0.424
784,2009-02-23,0.202
785,2009-02-24,0.456
786,2009-02-25,0.248
787,2009-02-26,0.176
788,2009-02-27,-0.049
789,2009-02-28,-0.057
790,2009-03-01,0.318
791,2009-03-02,-0.265
792,2009-03-03,-0.27
793,2009-03-04,-0.197
794,2009-03-05,-0.43
795,2009-03-06,0.576
796,2009-03-07,0.0
797,2009-03-08,0.081
798,2009-03-09,0.03
799,2009-03-10,0.283
800,2009-03-11,-0.026
801,2009-03-12,-0.445
802,2009-03-13,0.013
803,2009-03-14,-0.403
804,2009-03-15,0.269
805,2009-03-16,-0.287
806,2009-03-17,0.423
807,2009-03-18,-0.278
808,2009-03-19,-0.056
809,2009-03-20,0.388
810,2009-03-21,0.572
811,2009-03-22,0.382
812,2009-03-23,0.27
813,2009-03-24,0.023
814,2009-03-25,0.077
815,2009-03-26,0.416
816,2009-03-27,-0.193
817,2009-03-28,0.459
818,2009-03-29,0.177
819,2009-03-30,0.224
820,2009-03-31,-0.107
821,2009-04-01,-0.35
822,2009-04-02,-0.214
823,2009-04-03,0.114
824,2009-04-04,0.0
825,2009-04-05,-0.285
826,2009-04-06,0.15
827,2009-04-07,-0.296
828,2009-04-08,0.122
829,2009-04-09,0.078
830,2009-04-10,0.0
831,2009-04-11,0.0
832,2009-04-12,0.0
833,2009-04-13,0.405
834,2009-04-14,0.187
835,2009-04-15,0.233
836,2009-04-16,-0.517
837,2009-04-17,-0.377
838,2009-04-18,0.0
839,2009-04-19,-0.388
840,2009-04-20,0.44
841,2009-04-21,0.389
842,2009-04-22,-0.168
843,2009-04-23,0.325
844,2009-04-24,-0.226
845,2009-04-25,0.34
846,2009-04-26,0.0
847,2009-04-27,-0.038
848,2009-04-28,-0.071
849,2009-04-29,-0.148
850,2009-04-30,-0.024
851,2009-05-01,0.011
852,2009-05-02,0.0
853,2009-05-03,-0.166
854,2009-05-04,0.16
855,2009-05-05,0.335
856,2009-05-06,0.338
857,2009-05-07,0.261
858,2009-05-08,0.029
859,2009-05-09,-0.51
860,2009-05-10,-0.183
861,2009-05-11,0.178
862,2009-05-12,0.132
863,2009-05-13,0.416
